State,Black,Asian or Pacific Islander,Hispanic,Unknown,Native Americn or Alaskan Native,White,Other
12 AM,222,114,19,26,0,1771,11
1 AM,159,83,11,16,2,1164,4
2 AM,136,46,6,16,1,719,4
 3 AM,54,16,5,16,0,285,1
4 AM,17,15,1,16,0,183,0
5 AM,38,23,1,16,0,332,2
6 AM,32,18,6,16,0,594,1
7 AM,41,18,4,16,1,793,3
8 AM,43,19,4,16,0,717,2
9 AM,54,38,4,16,4,1196,4
10 AM,81,40,9,16,0,1156,0
11 AM,83,37,3,16,1,1173,2
12 PM,74,36,5,16,0,931,2
1 PM,67,30,10,16,0,930,2
2 PM,126,37,5,16,0,1071,8
3 PM,123,38,11,16,0,1240,5
4 PM,98,37,5,16,0,1064,2
5 PM,67,43,3,16,3,882,4
6 PM,128,72,13,16,2,1653,1
7 PM,144,70,6,16,1,1807,3
8 PM,151,84,17,16,2,1832,1
9 PM,158,100,18,16,3,1871,7
10 PM,164,121,17,16,0,1779,3
11 PM,307,128,24,16,3,2010,7